epochs	  obs	 h	lr  	norm	max	avg	  time
  5000	   50	 1	0.100	 0.4133	 0.1819	 0.0327	   2.06
  5000	   50	 2	0.100	 0.3941	 0.1815	 0.0310	   2.20
  5000	   50	 3	0.100	 0.3864	 0.1746	 0.0306	   2.27
  5000	   50	 4	0.100	 0.3839	 0.1518	 0.0312	   2.34
  5000	   50	 5	0.100	 0.3936	 0.1542	 0.0311	   2.43
  5000	   50	 6	0.100	 0.4174	 0.1673	 0.0329	   2.55
  5000	   50	 7	0.100	 0.4025	 0.1652	 0.0320	   2.57
  5000	   50	 8	0.100	 0.3772	 0.1340	 0.0304	   2.65
  5000	   50	 9	0.100	 0.3853	 0.1508	 0.0310	   2.73
  5000	   50	10	0.100	 0.4196	 0.1877	 0.0328	   2.87
  5000	   50	 1	0.010	 0.5470	 0.1666	 0.0572	   2.09
  5000	   50	 2	0.010	 0.5213	 0.1506	 0.0547	   2.17
  5000	   50	 3	0.010	 0.5363	 0.1465	 0.0563	   2.18
  5000	   50	 4	0.010	 0.5461	 0.1534	 0.0571	   2.31
  5000	   50	 5	0.010	 0.5433	 0.1751	 0.0567	   2.36
  5000	   50	 6	0.010	 0.5810	 0.1834	 0.0602	   2.48
  5000	   50	 7	0.010	 0.5449	 0.1696	 0.0574	   2.58
  5000	   50	 8	0.010	 0.5593	 0.1860	 0.0585	   2.67
  5000	   50	 9	0.010	 0.5851	 0.1841	 0.0606	   2.76
  5000	   50	10	0.010	 0.5381	 0.1428	 0.0570	   2.82
  5000	   50	 1	0.001	 0.8645	 0.1814	 0.1163	   2.09
  5000	   50	 2	0.001	 0.8346	 0.1750	 0.1126	   2.18
  5000	   50	 3	0.001	 0.8695	 0.1813	 0.1171	   2.26
  5000	   50	 4	0.001	 0.8703	 0.1835	 0.1172	   2.32
  5000	   50	 5	0.001	 0.8794	 0.1832	 0.1175	   2.42
  5000	   50	 6	0.001	 0.8914	 0.1822	 0.1190	   2.53
  5000	   50	 7	0.001	 0.8748	 0.1793	 0.1178	   2.52
  5000	   50	 8	0.001	 0.9002	 0.1823	 0.1215	   2.70
  5000	   50	 9	0.001	 0.8739	 0.1846	 0.1179	   2.72
  5000	   50	10	0.001	 0.8834	 0.1870	 0.1199	   2.81
 50000	   50	 1	0.100	 0.3923	 0.1803	 0.0251	  21.53
 50000	   50	 2	0.100	 0.4002	 0.1831	 0.0252	  21.50
 50000	   50	 3	0.100	 0.3499	 0.1548	 0.0224	  22.51
 50000	   50	 4	0.100	 0.3848	 0.1662	 0.0246	  23.39
 50000	   50	 5	0.100	 0.3874	 0.1822	 0.0242	  24.58
 50000	   50	 6	0.100	 0.3751	 0.1635	 0.0244	  25.23
 50000	   50	 7	0.100	 0.3955	 0.1860	 0.0250	  25.87
 50000	   50	 8	0.100	 0.3917	 0.1847	 0.0251	  26.61
 50000	   50	 9	0.100	 0.3690	 0.1504	 0.0237	  27.61
 50000	   50	10	0.100	 0.3781	 0.1828	 0.0242	  27.89
 50000	   50	 1	0.010	 0.3760	 0.1468	 0.0299	  20.67
 50000	   50	 2	0.010	 0.3915	 0.1442	 0.0316	  20.84
 50000	   50	 3	0.010	 0.3878	 0.1678	 0.0308	  11.80
 50000	   50	 4	0.010	 0.3804	 0.1515	 0.0308	  12.07
 50000	   50	 5	0.010	 0.3695	 0.1374	 0.0300	  12.61
 50000	   50	 6	0.010	 0.3868	 0.1697	 0.0305	  12.99
 50000	   50	 7	0.010	 0.3889	 0.1594	 0.0313	  22.71
 50000	   50	 8	0.010	 0.3887	 0.1659	 0.0312	  26.19
 50000	   50	 9	0.010	 0.3948	 0.1704	 0.0319	  27.13
 50000	   50	10	0.010	 0.3997	 0.1622	 0.0318	  27.99
 50000	   50	 1	0.001	 0.5307	 0.1770	 0.0552	  20.64
 50000	   50	 2	0.001	 0.5525	 0.1569	 0.0578	  21.32
 50000	   50	 3	0.001	 0.5344	 0.1626	 0.0564	  22.21
 50000	   50	 4	0.001	 0.5395	 0.1563	 0.0568	  23.05
 50000	   50	 5	0.001	 0.5461	 0.1748	 0.0572	  23.77
 50000	   50	 6	0.001	 0.5510	 0.1809	 0.0578	  24.52
 50000	   50	 7	0.001	 0.5478	 0.1534	 0.0576	  25.53
 50000	   50	 8	0.001	 0.5628	 0.1535	 0.0592	  26.28
 50000	   50	 9	0.001	 0.5571	 0.1875	 0.0583	  27.23
 50000	   50	10	0.001	 0.5767	 0.1856	 0.0603	  28.09
500000	   50	 1	0.100	 0.3536	 0.1615	 0.0207	 174.58
500000	   50	 2	0.100	 0.3582	 0.1801	 0.0207	 193.02
500000	   50	 3	0.100	 0.3681	 0.1646	 0.0216	 222.47
500000	   50	 4	0.100	 0.3888	 0.1799	 0.0226	 226.48
500000	   50	 5	0.100	 0.3713	 0.1385	 0.0219	 238.86
500000	   50	 6	0.100	 0.3715	 0.1609	 0.0218	 247.07
500000	   50	 7	0.100	 0.3792	 0.1781	 0.0221	 255.42
500000	   50	 8	0.100	 0.3576	 0.1522	 0.0211	 267.24
500000	   50	 9	0.100	 0.3753	 0.1648	 0.0221	 276.04
500000	   50	10	0.100	 0.3722	 0.1461	 0.0220	 285.51
500000	   50	 1	0.010	 0.3830	 0.1673	 0.0245	 209.47
500000	   50	 2	0.010	 0.3623	 0.1748	 0.0230	 216.36
500000	   50	 3	0.010	 0.3628	 0.1492	 0.0234	 223.44
500000	   50	 4	0.010	 0.3752	 0.1811	 0.0238	 232.06
500000	   50	 5	0.010	 0.3626	 0.1491	 0.0234	 241.06
500000	   50	 6	0.010	 0.3720	 0.1718	 0.0238	 247.98
500000	   50	 7	0.010	 0.3617	 0.1855	 0.0232	 256.67
500000	   50	 8	0.010	 0.3915	 0.1812	 0.0248	 268.29
500000	   50	 9	0.010	 0.3958	 0.1900	 0.0252	 169.63
500000	   50	10	0.010	 0.4107	 0.1900	 0.0260	 148.78
500000	   50	 1	0.001	 0.4018	 0.1792	 0.0318	 108.52
500000	   50	 2	0.001	 0.4026	 0.1728	 0.0318	 113.33
500000	   50	 3	0.001	 0.3994	 0.1793	 0.0318	 117.96
500000	   50	 4	0.001	 0.3863	 0.1764	 0.0305	 121.47
500000	   50	 5	0.001	 0.3994	 0.1762	 0.0315	 125.91
500000	   50	 6	0.001	 0.3884	 0.1755	 0.0312	 130.13
500000	   50	 7	0.001	 0.3837	 0.1606	 0.0305	 135.10
500000	   50	 8	0.001	 0.4128	 0.1789	 0.0322	 139.29
500000	   50	 9	0.001	 0.3964	 0.1555	 0.0315	 142.99
500000	   50	10	0.001	 0.4266	 0.1915	 0.0339	 148.27
  5000	  500	 1	0.100	 1.2322	 0.1822	 0.0315	  14.61
  5000	  500	 2	0.100	 1.2292	 0.1741	 0.0316	  16.16
  5000	  500	 3	0.100	 1.2532	 0.1854	 0.0321	  16.94
  5000	  500	 4	0.100	 1.2362	 0.1826	 0.0315	  17.95
  5000	  500	 5	0.100	 1.2575	 0.1829	 0.0321	  18.58
  5000	  500	 6	0.100	 1.2716	 0.1847	 0.0325	  18.87
  5000	  500	 7	0.100	 1.2829	 0.1869	 0.0327	  20.60
  5000	  500	 8	0.100	 1.2870	 0.1867	 0.0329	  21.53
  5000	  500	 9	0.100	 1.2977	 0.1864	 0.0335	  22.14
  5000	  500	10	0.100	 1.3204	 0.1908	 0.0338	  23.53
  5000	  500	 1	0.010	 1.7370	 0.1809	 0.0574	  14.74
  5000	  500	 2	0.010	 1.7505	 0.1837	 0.0579	  16.32
  5000	  500	 3	0.010	 1.7584	 0.1862	 0.0581	  16.96
  5000	  500	 4	0.010	 1.7546	 0.1799	 0.0580	  18.03
  5000	  500	 5	0.010	 1.7763	 0.1847	 0.0588	  18.94
  5000	  500	 6	0.010	 1.7944	 0.1870	 0.0593	  19.74
  5000	  500	 7	0.010	 1.7905	 0.1862	 0.0590	  20.58
  5000	  500	 8	0.010	 1.7758	 0.1863	 0.0587	  21.29
  5000	  500	 9	0.010	 1.8278	 0.1874	 0.0604	  22.18
  5000	  500	10	0.010	 1.7932	 0.1859	 0.0593	  23.28
  5000	  500	 1	0.001	 2.6962	 0.1829	 0.1150	  14.64
  5000	  500	 2	0.001	 2.7225	 0.1831	 0.1164	  16.15
  5000	  500	 3	0.001	 2.7368	 0.1839	 0.1167	  16.92
  5000	  500	 4	0.001	 2.7578	 0.1840	 0.1178	  17.69
  5000	  500	 5	0.001	 2.7403	 0.1856	 0.1175	  18.69
  5000	  500	 6	0.001	 2.7738	 0.1865	 0.1184	  19.48
  5000	  500	 7	0.001	 2.7625	 0.1844	 0.1181	  20.44
  5000	  500	 8	0.001	 2.7904	 0.1864	 0.1196	  21.10
  5000	  500	 9	0.001	 2.8580	 0.1890	 0.1223	  22.19
  5000	  500	10	0.001	 2.7992	 0.1870	 0.1197	  22.94
 50000	  500	 1	0.100	 1.2250	 0.1803	 0.0255	 147.19
 50000	  500	 2	0.100	 1.1807	 0.1847	 0.0247	 161.94
 50000	  500	 3	0.100	 1.1956	 0.1817	 0.0251	 156.37
 50000	  500	 4	0.100	 1.2115	 0.1845	 0.0254	 178.02
 50000	  500	 5	0.100	 1.1933	 0.1803	 0.0252	 187.16
 50000	  500	 6	0.100	 1.2234	 0.1868	 0.0257	 197.44
 50000	  500	 7	0.100	 1.2185	 0.1863	 0.0256	 205.73
 50000	  500	 8	0.100	 1.2397	 0.1886	 0.0261	 214.09
 50000	  500	 9	0.100	 1.2452	 0.1886	 0.0260	 222.66
 50000	  500	10	0.100	 1.2043	 0.1860	 0.0253	 231.72
 50000	  500	 1	0.010	 1.2488	 0.1801	 0.0317	 148.32
 50000	  500	 2	0.010	 1.2548	 0.1798	 0.0323	 162.49
 50000	  500	 3	0.010	 1.2445	 0.1832	 0.0319	 170.98
 50000	  500	 4	0.010	 1.2561	 0.1838	 0.0321	 181.47
 50000	  500	 5	0.010	 1.2607	 0.1798	 0.0323	 190.20
 50000	  500	 6	0.010	 1.2670	 0.1842	 0.0324	 197.78
 50000	  500	 7	0.010	 1.2728	 0.1850	 0.0325	 206.16
 50000	  500	 8	0.010	 1.2650	 0.1816	 0.0323	 215.93
 50000	  500	 9	0.010	 1.3217	 0.1904	 0.0339	 225.85
 50000	  500	10	0.010	 1.2741	 0.1871	 0.0328	 234.61
 50000	  500	 1	0.001	 1.7177	 0.1826	 0.0568	 147.78
 50000	  500	 2	0.001	 1.7482	 0.1791	 0.0580	 161.70
 50000	  500	 3	0.001	 1.7224	 0.1804	 0.0570	 170.13
 50000	  500	 4	0.001	 1.7709	 0.1855	 0.0584	 180.38
